ID,Legislator,Party,Committee,County,District,House
1,Willaim McGee (Chair),Democratic,Agriculture,,21,Assembly
2,Didi Barret,Democratic,"Agriculture;Tourism, Parks, Arts and Sports Development",,106,Assembly
3,Michael Benedetto,Democratic,Agriculture;Ways and Means,,82,Assembly
4,Ken Blankenbush,Republican,"Agriculture;Tourism, Parks, Arts and Sports Development",,117,Assembly
5,Harry Bronson,Democratic,Agriculture,,138,Assembly
7,Clifford Crouch,Republican,Agriculture;Ways and Means,,122,Assembly
8,Gary Finch,Republican,Agriculture,,126,Assembly
9,Aileen Gunther,Democratic,Agriculture;Environmental Conservation,,100,Assembly
10,Stephen Hawley,Republican,Agriculture;Ways and Means,,139,Assembly
12,Peter Lopez,Republican,Agriculture;Environmental Conservation,,102,Assembly
13,Steven Otis,Democratic,Agriculture;Environmental Conservation,,91,Assembly
14,Jose Rivera,Democratic,Agriculture,,78,Assembly
15,Linda Rosenthal,Democratic,"Agriculture;Tourism, Parks, Arts and Sports Development",,67,Assembly
16,Addie Russell,Democratic,Agriculture,,116,Assembly
17,Angelo Santabarbara,Democratic,Agriculture,,111,Assembly
18,Luis Sepulveda,Democratic,Agriculture,,87,Assembly
19,Michael Simanowitz,Democratic,Agriculture,,27,Assembly
20,Frank Skartados,Democratic,"Agriculture;Tourism, Parks, Arts and Sports Development",,104,Assembly
21,James Skoufis,Democratic,Agriculture,,99,Assembly
22,Al Stripe,Democratic,"Agriculture;Tourism, Parks, Arts and Sports Development",,127,Assembly
23,Carrie Woerner,Democratic,"Agriculture;Tourism, Parks, Arts and Sports Development",,113,Assembly
24,Steve Englebright (Chair),Democratic,Environmental Conservation,,4,Assembly
25,Thomas Abinanti,Democratic,Environmental Conservation,,92,Assembly
26,Marc Butler,Republican,Agriculture;Environmental Conservation,,118,Assembly
27,William Colton,Democratic,Environmental Conservation;Ways and Means,,47,Assembly
28,Jane Corwin,Republican,Environmental Conservation;Ways and Means,,144,Assembly
29,Marcos Crespo,Democratic,Environmental Conservation,,85,Assembly
30,Steven Cymbrowitz,Democratic,Environmental Conservation,,45,Assembly
31,Patricia Fahy,Democratic,"Environmental Conservation;Tourism, Parks, Arts and Sports Development",,109,Assembly
32,Andrew Garbarino,Republican,Environmental Conservation,,7,Assembly
35,Ellen Jaffee,Democratic,Environmental Conservation,,97,Assembly
36,Todd Kaminsky,Democratic,Environmental Conservation,,20,Assembly
37,Brian Kavanagh,Democratic,Environmental Conservation,,74,Assembly
38,Barbara Lifton,Democratic,Agriculture;Environmental Conservation,,125,Assembly
40,Donna Lupardo,Democratic,Environmental Conservation,,123,Assembly
43,Anthony H. Palumbo,Republican,Environmental Conservation,,2,Assembly
44,Crystal Peoples-Stokes,Democratic,Environmental Conservation,,141,Assembly
45,Andrew Raia,Republican,Environmental Conservation,,12,Assembly
46,Nily Rozic,Democratic,Environmental Conservation,,25,Assembly
47,Sean Ryan,Democratic,Environmental Conservation,,149,Assembly
48,Joseph Saladino,Republican,Environmental Conservation;Ways and Means,,9,Assembly
49,Michelle Schimel,Democratic,Environmental Conservation,,16,Assembly
50,Dan Stec,Republican,"Tourism, Parks, Arts and Sports Development",,114,Assembly
53,Kenneth Zebrowski,Democratic,Environmental Conservation,,94,Assembly
